"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","seed","gun_key","nogun_key","left_obj","right_obj","stimulus","rt_from_start","correct","constrast","obj_type","face_id","obj_id"
"","","sequential-priming","131","430319","0.0-3.0-128.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-032-001-N.png"",""./GrayGuns/gun_10.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-032-001-N.png","gun_10.png"
"","","sequential-priming","132","433237","0.0-3.0-129.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-041-021-N.png"",""./GrayNonguns/cell_4.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-041-021-N.png","cell_4.png"
"","","sequential-priming","133","436152","0.0-3.0-130.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-014-002-N*.png"",""./GrayNonguns/cell_7.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-014-002-N*.png","cell_7.png"
"","","sequential-priming","134","439067","0.0-3.0-131.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-218-074-N.png"",""./GrayGuns/gun_1.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-218-074-N.png","gun_1.png"
"","","sequential-priming","135","441983","0.0-3.0-132.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-040-022-N.png"",""./GrayNonguns/wallet_4.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-040-022-N.png","wallet_4.png"
"","","sequential-priming","136","444904","0.0-3.0-133.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-242-011-N.png"",""./GrayNonguns/cell_6.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-242-011-N.png","cell_6.png"
"","","sequential-priming","137","447822","0.0-3.0-134.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-220-068-N.png"",""./GrayGuns/gun_9.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-220-068-N.png","gun_9.png"
"","","sequential-priming","138","450741","0.0-3.0-135.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-011-002-N.png"",""./GrayNonguns/tool_3.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-011-002-N.png","tool_3.png"
"","","sequential-priming","139","453660","0.0-3.0-136.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-010-001-N.png"",""./GrayNonguns/tool_5.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-010-001-N.png","tool_5.png"
"","","sequential-priming","140","456579","0.0-3.0-137.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-034-030-N.png"",""./GrayGuns/gun_11.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-034-030-N.png","gun_11.png"
"","","sequential-priming","141","459510","0.0-3.0-138.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-033-025-N.png"",""./GrayGuns/gun_15.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-033-025-N.png","gun_15.png"
"","","sequential-priming","142","462435","0.0-3.0-139.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-037-025-N.png"",""./GrayNonguns/tool_8.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-037-025-N.png","tool_8.png"
"","","sequential-priming","143","465362","0.0-3.0-140.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-225-127-N.png"",""./GrayGuns/gun_13.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-225-127-N.png","gun_13.png"
"","","sequential-priming","144","468279","0.0-3.0-141.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-231-112-N.png"",""./GrayNonguns/wallet_3.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-231-112-N.png","wallet_3.png"
"","","sequential-priming","145","471211","0.0-3.0-142.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-207-048-N.png"",""./GrayGuns/gun_1.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-207-048-N.png","gun_1.png"
"","","sequential-priming","146","474127","0.0-3.0-143.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-001-0140-N.png"",""./GrayGuns/gun_10.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-001-0140-N.png","gun_10.png"
"","","sequential-priming","147","477046","0.0-3.0-144.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-003-002-N.png"",""./GrayNonguns/cell_3.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-003-002-N.png","cell_3.png"
"","","sequential-priming","148","479960","0.0-3.0-145.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-250-157-N.png"",""./GrayGuns/gun_13.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-250-157-N.png","gun_13.png"
"","","sequential-priming","149","482877","0.0-3.0-146.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-017-002-N.png"",""./GrayGuns/gun_7.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-017-002-N.png","gun_7.png"
"","","sequential-priming","150","485792","0.0-3.0-147.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-256-138-N.png"",""./GrayNonguns/cell_3.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-256-138-N.png","cell_3.png"
"","","sequential-priming","151","488707","0.0-3.0-148.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-012-001-N.png"",""./GrayNonguns/wallet_5.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-012-001-N.png","wallet_5.png"
"","","sequential-priming","152","491621","0.0-3.0-149.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-249-239-N.png"",""./GrayGuns/gun_11.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-249-239-N.png","gun_11.png"
"","","sequential-priming","153","494541","0.0-3.0-150.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-038-003-N.png"",""./GrayNonguns/tool_5.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-038-003-N.png","tool_5.png"
"","","sequential-priming","154","497461","0.0-3.0-151.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-010-001-N.png"",""./GrayGuns/gun_2.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-010-001-N.png","gun_2.png"
"","","sequential-priming","155","500386","0.0-3.0-152.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-009-002-N.png"",""./GrayNonguns/wallet_8.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-009-002-N.png","wallet_8.png"
"","","sequential-priming","156","503302","0.0-3.0-153.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-207-048-N.png"",""./GrayNonguns/tool_2.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-207-048-N.png","tool_2.png"
"","","sequential-priming","157","506221","0.0-3.0-154.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-031-003-N.png"",""./GrayGuns/gun_4.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-031-003-N.png","gun_4.png"
"","","sequential-priming","158","509133","0.0-3.0-155.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-012-001-N.png"",""./GrayGuns/gun_19.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-012-001-N.png","gun_19.png"
